After iteration 1: w(A1) = -0.0375, w(A2) = -0.0375, w(A3) = 0.0000, w(A4) = 0.0000, w(A5) = 0.0000, w(A6) = 0.0000, w(A7) = 0.0000, w(A8) = 0.0000, w(A9) = -0.0375, w(A10) = -0.0375, w(A11) = 0.0000, w(A12) = 0.0000, w(A13) = -0.0375, output = 0.4533
After iteration 321: w(A1) = 0.1581, w(A2) = -0.2037, w(A3) = 0.0352, w(A4) = -0.1639, w(A5) = -0.2888, w(A6) = -0.1995, w(A7) = -0.6686, w(A8) = -0.0404, w(A9) = 0.1971, w(A10) = 0.0654, w(A11) = 0.6260, w(A12) = -0.7459, w(A13) = -0.8218, output = 0.2254
After iteration 322: w(A1) = 0.1581, w(A2) = -0.2037, w(A3) = 0.0352, w(A4) = -0.1639, w(A5) = -0.2444, w(A6) = -0.1551, w(A7) = -0.6686, w(A8) = 0.0040, w(A9) = 0.1971, w(A10) = 0.1098, w(A11) = 0.6704, w(A12) = -0.7459, w(A13) = -0.7774, output = 0.4031
After iteration 323: w(A1) = 0.1581, w(A2) = -0.2037, w(A3) = 0.0168, w(A4) = -0.1639, w(A5) = -0.2628, w(A6) = -0.1551, w(A7) = -0.6870, w(A8) = -0.0144, w(A9) = 0.1971, w(A10) = 0.0914, w(A11) = 0.6520, w(A12) = -0.7459, w(A13) = -0.7958, output = 0.2690
After iteration 324: w(A1) = 0.1269, w(A2) = -0.2037, w(A3) = -0.0143, w(A4) = -0.1950, w(A5) = -0.2939, w(A6) = -0.1551, w(A7) = -0.6870, w(A8) = -0.0144, w(A9) = 0.1971, w(A10) = 0.0603, w(A11) = 0.6209, w(A12) = -0.7459, w(A13) = -0.8269, output = 0.3724
After iteration 325: w(A1) = 0.1269, w(A2) = -0.2239, w(A3) = -0.0345, w(A4) = -0.2152, w(A5) = -0.2939, w(A6) = -0.1752, w(A7) = -0.6870, w(A8) = -0.0346, w(A9) = 0.1971, w(A10) = 0.0603, w(A11) = 0.6008, w(A12) = -0.7459, w(A13) = -0.8470, output = 0.2830
After iteration 326: w(A1) = 0.1473, w(A2) = -0.2239, w(A3) = -0.0141, w(A4) = -0.1948, w(A5) = -0.2735, w(A6) = -0.1752, w(A7) = -0.6666, w(A8) = -0.0346, w(A9) = 0.2175, w(A10) = 0.0806, w(A11) = 0.6008, w(A12) = -0.7255, w(A13) = -0.8267, output = 0.0948
After iteration 327: w(A1) = 0.1427, w(A2) = -0.2285, w(A3) = -0.0187, w(A4) = -0.1994, w(A5) = -0.2735, w(A6) = -0.1752, w(A7) = -0.6666, w(A8) = -0.0392, w(A9) = 0.2175, w(A10) = 0.0806, w(A11) = 0.6008, w(A12) = -0.7301, w(A13) = -0.8313, output = 0.1296
After iteration 328: w(A1) = 0.1427, w(A2) = -0.2285, w(A3) = -0.0187, w(A4) = -0.1607, w(A5) = -0.2349, w(A6) = -0.1366, w(A7) = -0.6279, w(A8) = -0.0005, w(A9) = 0.2561, w(A10) = 0.0806, w(A11) = 0.6395, w(A12) = -0.7301, w(A13) = -0.7926, output = 0.2578
After iteration 329: w(A1) = 0.1232, w(A2) = -0.2285, w(A3) = -0.0383, w(A4) = -0.1803, w(A5) = -0.2349, w(A6) = -0.1366, w(A7) = -0.6474, w(A8) = -0.0005, w(A9) = 0.2561, w(A10) = 0.0806, w(A11) = 0.6200, w(A12) = -0.7301, w(A13) = -0.8121, output = 0.2819
After iteration 330: w(A1) = 0.1208, w(A2) = -0.2308, w(A3) = -0.0383, w(A4) = -0.1826, w(A5) = -0.2349, w(A6) = -0.1389, w(A7) = -0.6498, w(A8) = -0.0005, w(A9) = 0.2538, w(A10) = 0.0783, w(A11) = 0.6200, w(A12) = -0.7325, w(A13) = -0.8145, output = 0.0914
After iteration 331: w(A1) = 0.1132, w(A2) = -0.2308, w(A3) = -0.0459, w(A4) = -0.1903, w(A5) = -0.2425, w(A6) = -0.1389, w(A7) = -0.6574, w(A8) = -0.0081, w(A9) = 0.2462, w(A10) = 0.0783, w(A11) = 0.6200, w(A12) = -0.7325, w(A13) = -0.8221, output = 0.1670
After iteration 332: w(A1) = 0.1542, w(A2) = -0.1898, w(A3) = -0.0459, w(A4) = -0.1903, w(A5) = -0.2425, w(A6) = -0.0979, w(A7) = -0.6574, w(A8) = -0.0081, w(A9) = 0.2872, w(A10) = 0.0783, w(A11) = 0.6610, w(A12) = -0.7325, w(A13) = -0.7811, output = 0.5084
After iteration 333: w(A1) = 0.1298, w(A2) = -0.1898, w(A3) = -0.0702, w(A4) = -0.1903, w(A5) = -0.2425, w(A6) = -0.0979, w(A7) = -0.6818, w(A8) = -0.0325, w(A9) = 0.2872, w(A10) = 0.0539, w(A11) = 0.6366, w(A12) = -0.7325, w(A13) = -0.8054, output = 0.3166
After iteration 334: w(A1) = 0.1644, w(A2) = -0.1898, w(A3) = -0.0356, w(A4) = -0.1903, w(A5) = -0.2425, w(A6) = -0.0979, w(A7) = -0.6818, w(A8) = 0.0021, w(A9) = 0.3217, w(A10) = 0.0539, w(A11) = 0.6712, w(A12) = -0.7325, w(A13) = -0.7708, output = 0.5874
After iteration 335: w(A1) = 0.1644, w(A2) = -0.1898, w(A3) = -0.0428, w(A4) = -0.1903, w(A5) = -0.2425, w(A6) = -0.1050, w(A7) = -0.6889, w(A8) = -0.0050, w(A9) = 0.3217, w(A10) = 0.0468, w(A11) = 0.6641, w(A12) = -0.7396, w(A13) = -0.7780, output = 0.1613
After iteration 336: w(A1) = 0.1644, w(A2) = -0.1898, w(A3) = -0.0428, w(A4) = -0.1903, w(A5) = -0.2723, w(A6) = -0.1050, w(A7) = -0.6889, w(A8) = -0.0348, w(A9) = 0.3217, w(A10) = 0.0468, w(A11) = 0.6343, w(A12) = -0.7396, w(A13) = -0.8078, output = 0.3821
After iteration 337: w(A1) = 0.1571, w(A2) = -0.1898, w(A3) = -0.0501, w(A4) = -0.1903, w(A5) = -0.2723, w(A6) = -0.1124, w(A7) = -0.6962, w(A8) = -0.0421, w(A9) = 0.3217, w(A10) = 0.0395, w(A11) = 0.6269, w(A12) = -0.7470, w(A13) = -0.8151, output = 0.1625
After iteration 338: w(A1) = 0.1983, w(A2) = -0.1486, w(A3) = -0.0501, w(A4) = -0.1490, w(A5) = -0.2311, w(A6) = -0.0711, w(A7) = -0.6962, w(A8) = -0.0421, w(A9) = 0.3630, w(A10) = 0.0807, w(A11) = 0.6682, w(A12) = -0.7057, w(A13) = -0.7739, output = 0.3167
After iteration 339: w(A1) = 0.1983, w(A2) = -0.1502, w(A3) = -0.0517, w(A4) = -0.1490, w(A5) = -0.2311, w(A6) = -0.0728, w(A7) = -0.6979, w(A8) = -0.0438, w(A9) = 0.3630, w(A10) = 0.0807, w(A11) = 0.6682, w(A12) = -0.7074, w(A13) = -0.7755, output = 0.0759
After iteration 340: w(A1) = 0.1962, w(A2) = -0.1502, w(A3) = -0.0538, w(A4) = -0.1490, w(A5) = -0.2332, w(A6) = -0.0749, w(A7) = -0.7000, w(A8) = -0.0438, w(A9) = 0.3630, w(A10) = 0.0807, w(A11) = 0.6682, w(A12) = -0.7095, w(A13) = -0.7776, output = 0.0868
After iteration 341: w(A1) = 0.1710, w(A2) = -0.1755, w(A3) = -0.0538, w(A4) = -0.1743, w(A5) = -0.2332, w(A6) = -0.0749, w(A7) = -0.7000, w(A8) = -0.0438, w(A9) = 0.3377, w(A10) = 0.0807, w(A11) = 0.6429, w(A12) = -0.7347, w(A13) = -0.8029, output = 0.3239
After iteration 342: w(A1) = 0.1710, w(A2) = -0.1755, w(A3) = -0.0598, w(A4) = -0.1802, w(A5) = -0.2391, w(A6) = -0.0808, w(A7) = -0.7059, w(A8) = -0.0438, w(A9) = 0.3318, w(A10) = 0.0748, w(A11) = 0.6370, w(A12) = -0.7407, w(A13) = -0.8088, output = 0.1453
After iteration 343: w(A1) = 0.1710, w(A2) = -0.1812, w(A3) = -0.0655, w(A4) = -0.1802, w(A5) = -0.2448, w(A6) = -0.0865, w(A7) = -0.7116, w(A8) = -0.0438, w(A9) = 0.3261, w(A10) = 0.0748, w(A11) = 0.6370, w(A12) = -0.7407, w(A13) = -0.8145, output = 0.1445
After iteration 344: w(A1) = 0.1696, w(A2) = -0.1826, w(A3) = -0.0655, w(A4) = -0.1802, w(A5) = -0.2462, w(A6) = -0.0879, w(A7) = -0.7130, w(A8) = -0.0452, w(A9) = 0.3261, w(A10) = 0.0734, w(A11) = 0.6370, w(A12) = -0.7421, w(A13) = -0.8159, output = 0.0698
After iteration 345: w(A1) = 0.1593, w(A2) = -0.1826, w(A3) = -0.0655, w(A4) = -0.1802, w(A5) = -0.2565, w(A6) = -0.0982, w(A7) = -0.7233, w(A8) = -0.0554, w(A9) = 0.3158, w(A10) = 0.0631, w(A11) = 0.6370, w(A12) = -0.7421, w(A13) = -0.8262, output = 0.1945
After iteration 346: w(A1) = 0.1593, w(A2) = -0.1388, w(A3) = -0.0655, w(A4) = -0.1365, w(A5) = -0.2565, w(A6) = -0.0982, w(A7) = -0.7233, w(A8) = -0.0554, w(A9) = 0.3596, w(A10) = 0.1069, w(A11) = 0.6807, w(A12) = -0.6983, w(A13) = -0.7824, output = 0.3523
After iteration 347: w(A1) = 0.1593, w(A2) = -0.1405, w(A3) = -0.0655, w(A4) = -0.1381, w(A5) = -0.2565, w(A6) = -0.0982, w(A7) = -0.7249, w(A8) = -0.0554, w(A9) = 0.3596, w(A10) = 0.1069, w(A11) = 0.6807, w(A12) = -0.7000, w(A13) = -0.7841, output = 0.0767
After iteration 348: w(A1) = 0.1593, w(A2) = -0.1472, w(A3) = -0.0655, w(A4) = -0.1448, w(A5) = -0.2632, w(A6) = -0.0982, w(A7) = -0.7316, w(A8) = -0.0621, w(A9) = 0.3529, w(A10) = 0.1002, w(A11) = 0.6807, w(A12) = -0.7000, w(A13) = -0.7908, output = 0.1562
After iteration 349: w(A1) = 0.1938, w(A2) = -0.1472, w(A3) = -0.0655, w(A4) = -0.1448, w(A5) = -0.2632, w(A6) = -0.0982, w(A7) = -0.7316, w(A8) = -0.0621, w(A9) = 0.3529, w(A10) = 0.1347, w(A11) = 0.7152, w(A12) = -0.7000, w(A13) = -0.7563, output = 0.5714
After iteration 350: w(A1) = 0.1751, w(A2) = -0.1659, w(A3) = -0.0842, w(A4) = -0.1636, w(A5) = -0.2819, w(A6) = -0.1169, w(A7) = -0.7316, w(A8) = -0.0808, w(A9) = 0.3342, w(A10) = 0.1160, w(A11) = 0.7152, w(A12) = -0.7000, w(A13) = -0.7750, output = 0.2606
After iteration 351: w(A1) = 0.2184, w(A2) = -0.1226, w(A3) = -0.0409, w(A4) = -0.1636, w(A5) = -0.2819, w(A6) = -0.1169, w(A7) = -0.6883, w(A8) = -0.0808, w(A9) = 0.3774, w(A10) = 0.1592, w(A11) = 0.7585, w(A12) = -0.7000, w(A13) = -0.7317, output = 0.4825
After iteration 352: w(A1) = 0.2184, w(A2) = -0.1346, w(A3) = -0.0529, w(A4) = -0.1636, w(A5) = -0.2939, w(A6) = -0.1289, w(A7) = -0.7003, w(A8) = -0.0808, w(A9) = 0.3774, w(A10) = 0.1592, w(A11) = 0.7466, w(A12) = -0.7000, w(A13) = -0.7437, output = 0.2129
After iteration 353: w(A1) = 0.2184, w(A2) = -0.1392, w(A3) = -0.0529, w(A4) = -0.1682, w(A5) = -0.2985, w(A6) = -0.1335, w(A7) = -0.7050, w(A8) = -0.0855, w(A9) = 0.3728, w(A10) = 0.1592, w(A11) = 0.7466, w(A12) = -0.7000, w(A13) = -0.7483, output = 0.1295
After iteration 354: w(A1) = 0.2184, w(A2) = -0.1593, w(A3) = -0.0729, w(A4) = -0.1882, w(A5) = -0.3185, w(A6) = -0.1535, w(A7) = -0.7050, w(A8) = -0.0855, w(A9) = 0.3728, w(A10) = 0.1592, w(A11) = 0.7265, w(A12) = -0.7000, w(A13) = -0.7683, output = 0.2821
After iteration 355: w(A1) = 0.2184, w(A2) = -0.1669, w(A3) = -0.0806, w(A4) = -0.1882, w(A5) = -0.3185, w(A6) = -0.1535, w(A7) = -0.7050, w(A8) = -0.0855, w(A9) = 0.3728, w(A10) = 0.1516, w(A11) = 0.7265, w(A12) = -0.7077, w(A13) = -0.7760, output = 0.1708
After iteration 356: w(A1) = 0.2094, w(A2) = -0.1669, w(A3) = -0.0806, w(A4) = -0.1972, w(A5) = -0.3185, w(A6) = -0.1535, w(A7) = -0.7140, w(A8) = -0.0855, w(A9) = 0.3728, w(A10) = 0.1516, w(A11) = 0.7175, w(A12) = -0.7167, w(A13) = -0.7850, output = 0.1845
After iteration 357: w(A1) = 0.2059, w(A2) = -0.1669, w(A3) = -0.0841, w(A4) = -0.2007, w(A5) = -0.3220, w(A6) = -0.1570, w(A7) = -0.7175, w(A8) = -0.0855, w(A9) = 0.3728, w(A10) = 0.1516, w(A11) = 0.7175, w(A12) = -0.7167, w(A13) = -0.7885, output = 0.1126
After iteration 358: w(A1) = 0.1849, w(A2) = -0.1879, w(A3) = -0.0841, w(A4) = -0.2007, w(A5) = -0.3220, w(A6) = -0.1570, w(A7) = -0.7175, w(A8) = -0.0855, w(A9) = 0.3728, w(A10) = 0.1516, w(A11) = 0.7175, w(A12) = -0.7167, w(A13) = -0.8095, output = 0.3073
After iteration 359: w(A1) = 0.1849, w(A2) = -0.1879, w(A3) = -0.0841, w(A4) = -0.2222, w(A5) = -0.3220, w(A6) = -0.1785, w(A7) = -0.7389, w(A8) = -0.1069, w(A9) = 0.3514, w(A10) = 0.1301, w(A11) = 0.6961, w(A12) = -0.7167, w(A13) = -0.8310, output = 0.2891
After iteration 360: w(A1) = 0.1849, w(A2) = -0.1894, w(A3) = -0.0855, w(A4) = -0.2236, w(A5) = -0.3235, w(A6) = -0.1799, w(A7) = -0.7403, w(A8) = -0.1084, w(A9) = 0.3514, w(A10) = 0.1287, w(A11) = 0.6947, w(A12) = -0.7181, w(A13) = -0.8324, output = 0.0706
After iteration 361: w(A1) = 0.1701, w(A2) = -0.2042, w(A3) = -0.1004, w(A4) = -0.2236, w(A5) = -0.3235, w(A6) = -0.1799, w(A7) = -0.7403, w(A8) = -0.1232, w(A9) = 0.3514, w(A10) = 0.1287, w(A11) = 0.6798, w(A12) = -0.7330, w(A13) = -0.8473, output = 0.2390
After iteration 362: w(A1) = 0.1701, w(A2) = -0.2042, w(A3) = -0.0561, w(A4) = -0.2236, w(A5) = -0.2792, w(A6) = -0.1799, w(A7) = -0.7403, w(A8) = -0.0789, w(A9) = 0.3514, w(A10) = 0.1730, w(A11) = 0.7241, w(A12) = -0.7330, w(A13) = -0.8030, output = 0.4206
After iteration 363: w(A1) = 0.1648, w(A2) = -0.2095, w(A3) = -0.0561, w(A4) = -0.2236, w(A5) = -0.2792, w(A6) = -0.1799, w(A7) = -0.7456, w(A8) = -0.0789, w(A9) = 0.3461, w(A10) = 0.1677, w(A11) = 0.7241, w(A12) = -0.7383, w(A13) = -0.8083, output = 0.1391
After iteration 364: w(A1) = 0.1539, w(A2) = -0.2095, w(A3) = -0.0670, w(A4) = -0.2345, w(A5) = -0.2901, w(A6) = -0.1908, w(A7) = -0.7456, w(A8) = -0.0898, w(A9) = 0.3461, w(A10) = 0.1568, w(A11) = 0.7241, w(A12) = -0.7383, w(A13) = -0.8192, output = 0.2009
After iteration 365: w(A1) = 0.1539, w(A2) = -0.1908, w(A3) = -0.0670, w(A4) = -0.2345, w(A5) = -0.2901, w(A6) = -0.1721, w(A7) = -0.7269, w(A8) = -0.0898, w(A9) = 0.3461, w(A10) = 0.1755, w(A11) = 0.7241, w(A12) = -0.7195, w(A13) = -0.8004, output = 0.0806
After iteration 366: w(A1) = 0.1856, w(A2) = -0.1908, w(A3) = -0.0670, w(A4) = -0.2027, w(A5) = -0.2901, w(A6) = -0.1721, w(A7) = -0.7269, w(A8) = -0.0581, w(A9) = 0.3778, w(A10) = 0.2073, w(A11) = 0.7559, w(A12) = -0.7195, w(A13) = -0.7687, output = 0.6218
After iteration 367: w(A1) = 0.2278, w(A2) = -0.1486, w(A3) = -0.0670, w(A4) = -0.1606, w(A5) = -0.2479, w(A6) = -0.1721, w(A7) = -0.7269, w(A8) = -0.0581, w(A9) = 0.3778, w(A10) = 0.2495, w(A11) = 0.7980, w(A12) = -0.7195, w(A13) = -0.7265, output = 0.4979
After iteration 368: w(A1) = 0.2136, w(A2) = -0.1486, w(A3) = -0.0670, w(A4) = -0.1606, w(A5) = -0.2622, w(A6) = -0.1721, w(A7) = -0.7269, w(A8) = -0.0581, w(A9) = 0.3636, w(A10) = 0.2495, w(A11) = 0.7980, w(A12) = -0.7338, w(A13) = -0.7407, output = 0.2388
After iteration 369: w(A1) = 0.2560, w(A2) = -0.1061, w(A3) = -0.0670, w(A4) = -0.1181, w(A5) = -0.2622, w(A6) = -0.1296, w(A7) = -0.7269, w(A8) = -0.0581, w(A9) = 0.4061, w(A10) = 0.2919, w(A11) = 0.8405, w(A12) = -0.6913, w(A13) = -0.6983, output = 0.5128
After iteration 370: w(A1) = 0.2259, w(A2) = -0.1061, w(A3) = -0.0972, w(A4) = -0.1181, w(A5) = -0.2924, w(A6) = -0.1598, w(A7) = -0.7269, w(A8) = -0.0581, w(A9) = 0.3759, w(A10) = 0.2919, w(A11) = 0.8103, w(A12) = -0.7214, w(A13) = -0.7284, output = 0.3573
After iteration 371: w(A1) = 0.1913, w(A2) = -0.1406, w(A3) = -0.0972, w(A4) = -0.1181, w(A5) = -0.3269, w(A6) = -0.1598, w(A7) = -0.7269, w(A8) = -0.0926, w(A9) = 0.3759, w(A10) = 0.2919, w(A11) = 0.7758, w(A12) = -0.7214, w(A13) = -0.7630, output = 0.4119
After iteration 372: w(A1) = 0.1913, w(A2) = -0.1446, w(A3) = -0.1011, w(A4) = -0.1181, w(A5) = -0.3269, w(A6) = -0.1637, w(A7) = -0.7269, w(A8) = -0.0965, w(A9) = 0.3759, w(A10) = 0.2919, w(A11) = 0.7758, w(A12) = -0.7254, w(A13) = -0.7669, output = 0.1194
After iteration 373: w(A1) = 0.1913, w(A2) = -0.1446, w(A3) = -0.0827, w(A4) = -0.0997, w(A5) = -0.3085, w(A6) = -0.1637, w(A7) = -0.7085, w(A8) = -0.0781, w(A9) = 0.3759, w(A10) = 0.3103, w(A11) = 0.7758, w(A12) = -0.7070, w(A13) = -0.7485, output = 0.0815
After iteration 374: w(A1) = 0.1541, w(A2) = -0.1818, w(A3) = -0.0827, w(A4) = -0.0997, w(A5) = -0.3085, w(A6) = -0.1637, w(A7) = -0.7085, w(A8) = -0.0781, w(A9) = 0.3387, w(A10) = 0.2731, w(A11) = 0.7758, w(A12) = -0.7070, w(A13) = -0.7857, output = 0.4498
After iteration 375: w(A1) = 0.1541, w(A2) = -0.1818, w(A3) = -0.0827, w(A4) = -0.0997, w(A5) = -0.3146, w(A6) = -0.1698, w(A7) = -0.7146, w(A8) = -0.0781, w(A9) = 0.3387, w(A10) = 0.2670, w(A11) = 0.7758, w(A12) = -0.7070, w(A13) = -0.7918, output = 0.1514
After iteration 376: w(A1) = 0.1541, w(A2) = -0.1818, w(A3) = -0.0827, w(A4) = -0.0997, w(A5) = -0.2776, w(A6) = -0.1328, w(A7) = -0.7146, w(A8) = -0.0411, w(A9) = 0.3757, w(A10) = 0.3040, w(A11) = 0.8128, w(A12) = -0.7070, w(A13) = -0.7548, output = 0.5710
After iteration 377: w(A1) = 0.1963, w(A2) = -0.1818, w(A3) = -0.0827, w(A4) = -0.0576, w(A5) = -0.2776, w(A6) = -0.1328, w(A7) = -0.7146, w(A8) = -0.0411, w(A9) = 0.3757, w(A10) = 0.3461, w(A11) = 0.8128, w(A12) = -0.6648, w(A13) = -0.7127, output = 0.2906
After iteration 378: w(A1) = 0.1963, w(A2) = -0.1818, w(A3) = -0.0455, w(A4) = -0.0576, w(A5) = -0.2776, w(A6) = -0.1328, w(A7) = -0.7146, w(A8) = -0.0411, w(A9) = 0.3757, w(A10) = 0.3461, w(A11) = 0.8500, w(A12) = -0.6648, w(A13) = -0.6755, output = 0.5322
After iteration 379: w(A1) = 0.1592, w(A2) = -0.1818, w(A3) = -0.0455, w(A4) = -0.0576, w(A5) = -0.3147, w(A6) = -0.1699, w(A7) = -0.7146, w(A8) = -0.0782, w(A9) = 0.3386, w(A10) = 0.3091, w(A11) = 0.8129, w(A12) = -0.7019, w(A13) = -0.7125, output = 0.4116
After iteration 380: w(A1) = 0.1403, w(A2) = -0.2007, w(A3) = -0.0644, w(A4) = -0.0576, w(A5) = -0.3147, w(A6) = -0.1699, w(A7) = -0.7335, w(A8) = -0.0782, w(A9) = 0.3197, w(A10) = 0.2902, w(A11) = 0.8129, w(A12) = -0.7019, w(A13) = -0.7314, output = 0.2729
After iteration 381: w(A1) = 0.1403, w(A2) = -0.2007, w(A3) = -0.0734, w(A4) = -0.0665, w(A5) = -0.3147, w(A6) = -0.1789, w(A7) = -0.7425, w(A8) = -0.0871, w(A9) = 0.3197, w(A10) = 0.2812, w(A11) = 0.8039, w(A12) = -0.7108, w(A13) = -0.7404, output = 0.1803
After iteration 382: w(A1) = 0.1403, w(A2) = -0.2080, w(A3) = -0.0734, w(A4) = -0.0665, w(A5) = -0.3220, w(A6) = -0.1862, w(A7) = -0.7498, w(A8) = -0.0945, w(A9) = 0.3124, w(A10) = 0.2738, w(A11) = 0.7966, w(A12) = -0.7182, w(A13) = -0.7478, output = 0.1619
After iteration 383: w(A1) = 0.1116, w(A2) = -0.2080, w(A3) = -0.0734, w(A4) = -0.0952, w(A5) = -0.3507, w(A6) = -0.1862, w(A7) = -0.7498, w(A8) = -0.0945, w(A9) = 0.2837, w(A10) = 0.2451, w(A11) = 0.7966, w(A12) = -0.7182, w(A13) = -0.7765, output = 0.3585
After iteration 384: w(A1) = 0.1116, w(A2) = -0.1638, w(A3) = -0.0734, w(A4) = -0.0510, w(A5) = -0.3065, w(A6) = -0.1862, w(A7) = -0.7498, w(A8) = -0.0945, w(A9) = 0.3279, w(A10) = 0.2893, w(A11) = 0.8408, w(A12) = -0.6740, w(A13) = -0.7323, output = 0.3847
After iteration 385: w(A1) = 0.0878, w(A2) = -0.1638, w(A3) = -0.0973, w(A4) = -0.0749, w(A5) = -0.3304, w(A6) = -0.2101, w(A7) = -0.7498, w(A8) = -0.0945, w(A9) = 0.3040, w(A10) = 0.2655, w(A11) = 0.8408, w(A12) = -0.6740, w(A13) = -0.7561, output = 0.3076
After iteration 386: w(A1) = 0.0878, w(A2) = -0.1638, w(A3) = -0.0530, w(A4) = -0.0306, w(A5) = -0.2861, w(A6) = -0.1658, w(A7) = -0.7056, w(A8) = -0.0945, w(A9) = 0.3483, w(A10) = 0.3097, w(A11) = 0.8850, w(A12) = -0.6740, w(A13) = -0.7119, output = 0.3989
After iteration 387: w(A1) = 0.0878, w(A2) = -0.1291, w(A3) = -0.0183, w(A4) = 0.0041, w(A5) = -0.2861, w(A6) = -0.1658, w(A7) = -0.7056, w(A8) = -0.0598, w(A9) = 0.3483, w(A10) = 0.3444, w(A11) = 0.9197, w(A12) = -0.6740, w(A13) = -0.6772, output = 0.5948
After iteration 388: w(A1) = 0.0687, w(A2) = -0.1482, w(A3) = -0.0374, w(A4) = -0.0150, w(A5) = -0.3052, w(A6) = -0.1849, w(A7) = -0.7056, w(A8) = -0.0598, w(A9) = 0.3483, w(A10) = 0.3254, w(A11) = 0.9197, w(A12) = -0.6740, w(A13) = -0.6962, output = 0.2704
After iteration 389: w(A1) = 0.0379, w(A2) = -0.1482, w(A3) = -0.0682, w(A4) = -0.0150, w(A5) = -0.3052, w(A6) = -0.2157, w(A7) = -0.7056, w(A8) = -0.0907, w(A9) = 0.3174, w(A10) = 0.3254, w(A11) = 0.8888, w(A12) = -0.7049, w(A13) = -0.7271, output = 0.3630
After iteration 390: w(A1) = 0.0379, w(A2) = -0.1482, w(A3) = -0.0795, w(A4) = -0.0263, w(A5) = -0.3164, w(A6) = -0.2157, w(A7) = -0.7169, w(A8) = -0.1019, w(A9) = 0.3061, w(A10) = 0.3141, w(A11) = 0.8888, w(A12) = -0.7049, w(A13) = -0.7384, output = 0.2044
After iteration 391: w(A1) = 0.0379, w(A2) = -0.1482, w(A3) = -0.0869, w(A4) = -0.0337, w(A5) = -0.3164, w(A6) = -0.2231, w(A7) = -0.7243, w(A8) = -0.1094, w(A9) = 0.3061, w(A10) = 0.3067, w(A11) = 0.8888, w(A12) = -0.7049, w(A13) = -0.7458, output = 0.1657
After iteration 392: w(A1) = 0.0379, w(A2) = -0.1482, w(A3) = -0.0869, w(A4) = -0.0337, w(A5) = -0.3164, w(A6) = -0.2376, w(A7) = -0.7243, w(A8) = -0.1238, w(A9) = 0.3061, w(A10) = 0.3067, w(A11) = 0.8888, w(A12) = -0.7049, w(A13) = -0.7602, output = 0.2457
After iteration 393: w(A1) = 0.0379, w(A2) = -0.1672, w(A3) = -0.1060, w(A4) = -0.0337, w(A5) = -0.3355, w(A6) = -0.2376, w(A7) = -0.7433, w(A8) = -0.1238, w(A9) = 0.3061, w(A10) = 0.2876, w(A11) = 0.8698, w(A12) = -0.7049, w(A13) = -0.7793, output = 0.2741
After iteration 394: w(A1) = 0.0308, w(A2) = -0.1743, w(A3) = -0.1131, w(A4) = -0.0337, w(A5) = -0.3355, w(A6) = -0.2376, w(A7) = -0.7505, w(A8) = -0.1238, w(A9) = 0.3061, w(A10) = 0.2876, w(A11) = 0.8627, w(A12) = -0.7120, w(A13) = -0.7864, output = 0.1621
After iteration 395: w(A1) = 0.0308, w(A2) = -0.1882, w(A3) = -0.1131, w(A4) = -0.0475, w(A5) = -0.3355, w(A6) = -0.2376, w(A7) = -0.7505, w(A8) = -0.1238, w(A9) = 0.2923, w(A10) = 0.2738, w(A11) = 0.8627, w(A12) = -0.7258, w(A13) = -0.8002, output = 0.2323
After iteration 396: w(A1) = 0.0290, w(A2) = -0.1899, w(A3) = -0.1131, w(A4) = -0.0475, w(A5) = -0.3355, w(A6) = -0.2376, w(A7) = -0.7522, w(A8) = -0.1238, w(A9) = 0.2923, w(A10) = 0.2738, w(A11) = 0.8627, w(A12) = -0.7276, w(A13) = -0.8020, output = 0.0800
After iteration 397: w(A1) = 0.0290, w(A2) = -0.1899, w(A3) = -0.1131, w(A4) = -0.0539, w(A5) = -0.3419, w(A6) = -0.2376, w(A7) = -0.7586, w(A8) = -0.1238, w(A9) = 0.2923, w(A10) = 0.2674, w(A11) = 0.8627, w(A12) = -0.7276, w(A13) = -0.8084, output = 0.1551
After iteration 398: w(A1) = 0.0644, w(A2) = -0.1546, w(A3) = -0.1131, w(A4) = -0.0185, w(A5) = -0.3419, w(A6) = -0.2376, w(A7) = -0.7586, w(A8) = -0.1238, w(A9) = 0.2923, w(A10) = 0.3028, w(A11) = 0.8981, w(A12) = -0.7276, w(A13) = -0.7730, output = 0.5791
After iteration 399: w(A1) = 0.1011, w(A2) = -0.1178, w(A3) = -0.0763, w(A4) = 0.0183, w(A5) = -0.3419, w(A6) = -0.2008, w(A7) = -0.7586, w(A8) = -0.0870, w(A9) = 0.3291, w(A10) = 0.3396, w(A11) = 0.8981, w(A12) = -0.6908, w(A13) = -0.7362, output = 0.2458
After iteration 400: w(A1) = 0.1011, w(A2) = -0.1178, w(A3) = -0.0763, w(A4) = -0.0002, w(A5) = -0.3419, w(A6) = -0.2193, w(A7) = -0.7772, w(A8) = -0.1055, w(A9) = 0.3291, w(A10) = 0.3396, w(A11) = 0.8796, w(A12) = -0.6908, w(A13) = -0.7547, output = 0.2734

Accuracy on training set (400 instances): 78.8%

Accuracy on test set (100 instances): 73.0%
